title,box_office,country,genre,production,rating,runtime,year
Jobs,0,2,2,Open Road Films,PG-13,128,2013
The Last Exorcism Part II,0,2,2,CBS Films,PG-13,88,2013
Grudge Match,0,1,3,Warner Bros. Pictures,PG-13,113,2013
The Counselor,0,2,3,Fox Films,R,117,2013
Labor Day,0,1,2,Paramount Pictures,PG-13,111,2013
Homefront,0,1,2,Open Road Films,R,100,2013
Homefront,0,1,1,Open Road Films,NOT RATED,111,2013
Begin Again,0,1,4,The Weinstein Company,R,104,2013
The Last Stand,0,1,2,Lionsgate Films,R,107,2013
Nebraska,0,1,3,Paramount Pictures,R,115,2013
Fruitvale Station,0,1,4,The Weinstein Company,R,85,2013
Dead Man Down,0,1,4,FilmDistrict,R,118,2013
Getaway,0,2,3,Warner Bros. Pictures,PG-13,90,2013
Inside Llewyn Davis,0,3,3,CBS Films,R,104,2013
Closed Circuit,0,2,4,Focus Features,R,96,2013
Peeples,0,1,2,Lionsgate Films,PG-13,95,2013
Battle of the Year,0,1,2,Sony Pictures,PG-13,110,2013
Movie 43,0,1,1,Relativity Media,R,94,2013
Out of the Furnace,0,2,4,Relativity Media,R,116,2013
Before Midnight,0,2,2,Drafthouse Recommends,R,109,2013
Promise Land,0,1,1,Focus Features,Unrated,0,2013
The Green Inferno,0,4,2,High Top Releasing,R,100,2013
Legends of Oz: Dorothy's Return,0,2,5,Clarius Entertainment,PG,88,2013
Machete Kills,0,2,3,Open Road,R,107,2013
The Bling Ring,0,5,3,A24 Films,R,90,2013
Paranoia,0,3,2,Relativity Media,PG-13,106,2013
Black Nativity,0,1,4,Fox Searchlight,PG,93,2013
Trance,0,3,4,20th Century Fox,R,101,2013
All Is Lost,0,1,2,Lionsgate/Roadside Attractions,PG-13,106,2013
The Lunchbox,0,5,2,Sony Pictures Classics,PG,104,2013
The To Do List,0,1,2,CBS Films,R,104,2013
The Fifth Estate,0,3,4,Walt Disney Pictures,R,128,2013
Fading Gigolo,0,1,1,Millenium Entertainment,R,90,2013
Home Run,0,1,2,Samuel Goldwyn Films,PG-13,113,2013
Metallica Through the Never,0,1,1,Picturehouse Films,R,93,2013
Grace Unplugged,0,1,2,Roadside Attractions,PG,102,2013
I'm in Love with a Church Girl,0,1,3,High Top Releasing,PG,118,2013
Under the Skin,0,3,4,A24,R,108,2013
The Christmas Candle,0,2,2,Echolight Studios,PG,100,2013
Austenland,0,2,2,Sony Pictures Classics,PG-13,97,2013
The Oscar Nominated Short Films 2013: Live Action,0,5,1,Magnolia/Shorts International,Unrated,115,2013
In a World...,0,1,1,Roadside Attractions,R,93,2013
Stoker,0,2,2,Fox Searchlight Pictures,R,99,2013
Behind the Candelabra,0,1,4,HBO Films,TV-MA,118,2013
The East,0,2,3,Fox Searchlight Pictures,PG-13,116,2013
Locke,0,2,1,A24 Films,R,85,2013
The Ultimate Life,0,1,2,Hightop Releasing,PG,105,2013
One Chance,0,2,4,The Weinstein Company,PG-13,103,2013
The Immigrant,0,1,2,The Weinstein Company,R,120,2013
The Kings of Summer,0,1,3,CBS Films,R,95,2013
Oldboy,0,1,4,FilmDistrict,R,104,2013
Repentance,0,1,3,Lionsgate,R,90,2013
Romeo and Juliet,0,2,3,Relativity Media,Unrated,93,2013
Phantom,0,1,4,RCR Distribution,R,98,2013
Wish You Were Here,0,1,1,Entertainment One,Unrated,85,2013
Only God Forgives,0,5,3,Radius-TWC,R,90,2013
Kill Your Darlings,0,1,4,Sony Pictures Classics,R,104,2013
Alone Yet Not Alone,0,1,5,Hammond Entertainment,PG-13,103,2013
Parkland,0,1,4,Exclusive Releasing,PG-13,93,2013
Third Person,0,5,2,Sony Pictures Classics,R,137,2013
Nymphomaniac: Vol. I,0,7,1,Magnolia Pictures,Unrated,117,2013
Horns,0,2,6,Radius-TWC,R,120,2013
The Inevitable Defeat of Mister & Pete,0,1,1,Lionsgate Films,R,108,2013
Upstream Color,0,1,2,Independent Pictures/Metrodome Dist.,Unrated,96,2013
Palo Alto,0,1,1,Tribeca Film,R,100,2013
Walking with the Enemy,0,4,5,Liberty Studios,PG-13,124,2013
Not Today,0,1,1,Freestyle Releasing,PG-13,118,2013
In Secret,0,3,3,Roadside Attractions,R,107,2013
Lovelace,0,1,2,Radius-TWC,R,93,2013
Innocence,0,1,5,Abramorama Entertainment,PG-13,96,2013
Life of Crime,0,1,2,Roadside Atrractions,R,98,2013
Joe,0,1,2,Roadside Attractions,R,117,2013
Camp,0,1,1,Freestyle Releasing,PG-13,109,2013
Prince Avalanche,0,1,2,Magnolia Pictures,R,94,2013
Ain't Them Bodies Saints,0,1,3,IFC Films,R,96,2013
Drinking Buddies,0,1,3,Magnolia Pictures,R,90,2013
The Face of Love,0,1,3,IFC Films,PG-13,92,2013
Felony,0,2,3,Gravitas Ventures,TV-MA,105,2013
Afternoon Delight,0,1,2,The Film Arcade,R,98,2013
Copperhead,0,1,1,The Film Collective,PG-13,120,2013
Escape from Tomorrow,0,1,4,FilmBuff,Unrated,90,2013
InAPPropriate Comedy,0,1,1,Freestyle Releasing,R,83,2013
Mother of George,0,2,1,Oscilloscope Pictures,R,107,2013
Redwood Highway,0,1,1,Monterey Media,PG-13,90,2013
Europa Report,0,1,4,Magnolia Pictures,PG-13,90,2013
A.C.O.D.,0,1,1,The Film Arcade,R,88,2013
Devil's Knot,0,1,4,RLJ/Image Entertainment,Unrated,114,2013
Make Your Move,0,2,3,FilmDisctrict,PG-13,110,2013
Afflicted,0,2,3,CBS Films,R,85,2013
Computer Chess,0,1,1,Kino Lorber,Unrated,92,2013
The Investigator,0,1,3,Gabriel&#39;s Messenger Films,PG-13,101,2013
Blue Caprice,0,1,3,IFC Films,R,93,2013
The Frozen Ground,0,1,3,The Film Arcade,R,105,2013
Seasons of Gray,0,1,1,Rocky Mountain Pictures,PG-13,90,2013
Man of Tai Chi,0,3,2,Radius-TWC,R,105,2013
The English Teacher,0,1,2,Cinedigm,R,93,2013
King's Faith,0,1,1,Independent Pictures,PG-13,108,2013
Max Rose,0,1,1,Paladin,Unrated,83,2013
Go for Sisters,0,1,3,Variance Films,Unrated,123,2013
Breathe In,0,1,2,Cohen Media Group,R,98,2013
C.O.G.,0,1,2,Screen Media Ventures,R,88,2013
We Are What We Are,0,2,3,Entertainment One,R,105,2013
At Middleton,0,1,2,Anchor Bay and Freestyle Releasing,R,99,2013
The Retrieval,0,1,3,Variance Films,R,92,2013
A Master Builder,0,1,1,Abramorama Entertainment,Unrated,130,2013
Decoding Annie Parker,0,1,1,Entertainment One,R,91,2013
Touchy Feely,0,1,1,Magnolia Pictures,R,89,2013
Big Sur,0,1,2,Ketchup Entertainment,R,81,2013
Underdogs,0,1,3,Freestyle Releasing,PG,102,2013
The Canyons,0,1,2,IFC Films,R,99,2013
It Felt Like Love,0,1,1,Varience Films,Unrated,82,2013
Blood Ties,0,2,4,Roadside Attractions,R,127,2013
Beneath the Harvest Sky,0,1,3,Tribeca Film,Unrated,116,2013
Kill Season,0,1,2,Milennium Entertainment,Unrated,0,2013
Killing Season,0,3,3,Milennium Entertainment,R,91,2013
Interior. Leather Bar.,0,1,1,Strand Releasing,Unrated,60,2013
Savannah,0,1,4,Ketchup Entertainment,PG-13,101,2013
Redemption,0,1,3,Roadside Attractions,Unrated,115,2013
Redemption,0,2,3,Roadside Attractions,R,100,2013
Redemption,0,1,3,Roadside Attractions,Unrated,106,2013
Filth,0,5,3,Magnet Releasing,R,97,2013
I Used to Be Darker,0,1,2,Strand Releasing,Unrated,89,2013
V/H/S/2,0,3,2,Magnet Releasing,R,96,2013
Adult World,0,1,2,IFC Films,R,97,2013
The Power of Few,0,1,5,Steelyard Pictures,R,96,2013
Dealin' with Idiots,0,1,1,IFC Films,Unrated,88,2013
As I Lay Dying,0,1,1,Millennium Entertainment,R,110,2013
The Pretty One,0,1,2,Dada Films,R,90,2013
Hank and Asha,0,2,2,FilmRise,Unrated,73,2013
Love and Honor,0,1,3,IFC Films,PG-13,100,2013
Nothing Left to Fear,0,1,1,Anchor Bay Entertainment,R,100,2013
The Happy Sad,0,1,2,Miasma Films,Unrated,87,2013
Stand Clear of the Closing Doors,0,1,1,Oscilloscope Pictures,Unrated,102,2013
Almost Human,0,1,3,IFC Films,Unrated,80,2013
Welcome to the Punch,0,2,3,IFC Films,R,99,2013
Hell Baby,0,1,2,Millenium Entertainment,R,98,2013
Pawn Shop Chronicles,0,1,3,Anchor Bay Entertainment,R,112,2013
Torn,0,2,1,Dada Films,Unrated,80,2013
Return to Nuke 'Em High Volume 1,0,1,8,Anchor Bay Films,Unrated,85,2013
All Is Bright,0,1,2,Anchor Bay Films,R,107,2013
The Sacrament,0,1,2,Magnet Releasing,R,99,2013
A Teacher,0,1,2,Oscilloscope Laboratories,Unrated,75,2013
Revelation Road 2: The Sea of Glass and Fire,0,1,2,Freestyle Releasing,Unrated,90,2013
Raze,0,1,3,IFC Films,R,92,2013
Contracted,0,1,3,IFC Films,Unrated,84,2013
Aftermath,0,1,2,Freestyle Releasing,R,84,2013
The Pardon,0,1,1,Monterey Media,PG-13,120,2013
Plush,0,1,4,Millennium Entertainment,R,99,2013
Silver Circle,0,1,2,Area 23a Films,PG-13,90,2013
Axe Giant: The Wrath of Paul Bunyan,0,1,2,Cinema Purgatorio,R,90,2013
Pawn,0,1,4,Anchor Bay Films,R,88,2013
The Happy House,0,1,2,First Run Features,Unrated,81,2013
Jake Squared,0,1,2,Freestyle Releasing,R,100,2013
Last Flight of the Champion,0,1,3,High Top Releasing,PG,88,2013
The Package,0,2,3,Anchor Bay Films,R,95,2013
Syrup,0,1,3,Magnolia Pictures,R,90,2013
I Spit on Your Grave 2,0,1,2,Anchor Bay Entertainment,R,106,2013
A Perfect Man,0,1,2,IFC Films,R,95,2013
