title,box_office,country,genre,production,rating,runtime,year
Chocolate City,0,1,1,Freestyle Releasing,R,91,2015
The Fits,0,1,2,La Biennale di Venezia,Unrated,72,2015
Zhongkui: Snow Girl and the Dark Crystal,0,3,3,WellGo USA,Unrated,118,2015
David and Goliath,0,1,4,RiverRain Productions,PG,92,2015
Hell and Back,0,1,4,Freestyle Releasing LLC.,R,86,2015
Experimenter,0,1,3,Magnolia Pictures,PG-13,98,2015
Carter High,0,1,3,Play Now Enterprise,PG-13,110,2015
Krisha,0,1,1,A24 Films,R,83,2015
Top Cat Begins,0,5,2,Viva Entertainment,PG,89,2015
Maggie,0,2,2,Lionsgate Films,PG-13,95,2015
Survivor,0,2,3,Alchemy,PG-13,96,2015
Mississippi Grind,0,1,2,A24 and DIRECTV,R,108,2015
Dark Places,0,3,4,A24 and DIRECTV,R,113,2015
Cop Car,0,1,2,Focus World,R,88,2015
Yellow Day,0,1,3,Idyllic Entertainment,PG,98,2015
Digging for Fire,0,1,1,The Orchard,R,85,2015
Z for Zachariah,0,3,3,Roadside Attractions,PG-13,98,2015
James White,0,1,1,The Film Arcade,R,85,2015
Puerto Ricans in Paris,0,1,1,Focus World,R,82,2015
Beasts of No Nation,0,1,2,Netflix,Unrated,137,2015
Christmas Eve,0,1,1,Unstuck,PG,95,2015
Nasty Baby,0,2,1,The Orchard,R,101,2015
3 Generations,0,1,1,The Weinstein Company,PG-13,92,2015
Flowers,0,1,3,Music Box Films,Unrated,79,2015
Entertainment,0,1,1,Magnolia Pictures,R,103,2015
I Smile Back,0,1,1,Broad Green Pictures,R,85,2015
Brotherly Love,0,1,1,Freestyle Releasing,R,89,2015
Songs My Brothers Taught Me,0,1,1,Highwayman Films,Unrated,98,2015
People Places Things,0,1,2,The Film Arcade,R,85,2015
Don Verdean,0,1,3,Lionsgate Films,PG-13,90,2015
Heist,0,1,1,Emmett/Furla Films,Unrated,47,2015
Heist,0,1,4,Emmett/Furla Films,R,93,2015
Take Me to the River,0,1,1,NaN,Unrated,84,2015
Mr. Right,0,1,3,Circle of Confusion,R,95,2015
Mr. Right,0,1,1,Circle of Confusion,Unrated,79,2015
Anesthesia,0,1,2,IFC Films,R,90,2015
Lila & Eve,0,1,4,Samuel Goldwyn Films,R,94,2015
Slow Learners,0,1,2,IFC Films,Unrated,96,2015
The Sea of Trees,0,1,3,Waypoint Entertainment,PG-13,110,2015
Men Go to Battle,0,1,3,Film Movement,Unrated,98,2015
The Family Fang,0,1,3,Red Crown Productions,R,105,2015
Five Nights in Maine,0,1,1,Loveless Entertainment,Unrated,82,2015
Growing Up Smith,0,1,3,Good Deed Entertainment,PG-13,102,2015
Being Charlie,0,1,2,Castle Rock Entertainment,R,97,2015
The Adderall Diaries,0,1,3,A24 and DIRECTV,R,87,2015
Seoul Searching,0,3,4,Wonder Vision,TV-MA,105,2015
Home Run Showdown,0,1,2,Image Entertainement,Unrated,94,2015
Golden Kingdom,0,2,1,Alive Mind,Unrated,104,2015
Straight Outta Tompkins,0,1,1,Indican Pictures,Unrated,92,2015
The Girl in the Book,0,1,1,Varient Pictures,Unrated,86,2015
Ashby,0,1,4,The Film Arcade,R,100,2015
Coming Through the Rye,0,1,1,Red Hat Films,PG-13,97,2015
Burning Bodhi,0,1,1,NaN,R,93,2015
Body,0,1,3,Oscilloscope Pictures,Unrated,75,2015
L.A. Slasher,0,2,4,Archstone Distribution,R,86,2015
Know How,0,1,2,First Run Features,Unrated,106,2015
The Hallow,0,3,1,Occupant Entertainment,Unrated,97,2015
Memoria,0,1,2,RabbitBandini Productions,R,70,2015
The Looking Glass,0,1,2,FilmAcres,Unrated,110,2015
Hayride 2,0,1,3,Freestyle Releasing,R,92,2015
A Beautiful Now,0,1,3,Unified Pictures,R,90,2015
The Human Centipede III (Final Sequence),0,1,2,IFC Films,Unrated,102,2015
